occ90,occ90_desc,occ00,occ00_desc,conversion_factor
,,101,Computer programmers,2.679
,,102,Computer software engineers,30.952
,,104,Computer support specialists,6.548
,,106,Database administrators,0.893
,,110,Network and computer systems administrators,3.571
,,111,Network systems and data communications analysts,5.357
,,140,Computer hardware engineers,2.679
065,Operations and systems researchers and analysts,,,
,,070,Logisticians,11.966
,,100,Computer scientists and systems analysts,40.171
,,122,Operations research analysts,47.863
066,Actuaries,,,
,,120,Actuaries,100.000
067,Statisticians,,,
,,123,Statisticians,88.525
,,124,Miscellaneous mathematical science occupations,11.475
068,"Mathematical scientists, n.e.c.",,,
,,121,Mathematicians,87.500
,,124,Miscellaneous mathematical science occupations,8.553
,,132,Aerospace engineers,3.289
,,153,"Engineers, all other",0.658
069,Physicists and astronomers,,,
,,165,Medical scientists,1.575
,,170,Astronomers and physicists,98.425
073,"Chemists, except biochemists",,,
,,172,Chemists and materials scientists,100.000
074,Atmospheric and space scientists,,,
,,171,Atmospheric and space scientists,100.000
075,Geologists and geodesists,,,
,,142,Environmental engineers,0.581
,,174,Environmental scientists and geoscientists,99.419
076,"Physical scientists, n.e.c.",,,
,,164,Conservation scientists and foresters,1.481
,,172,Chemists and materials scientists,2.222
,,174,Environmental scientists and geoscientists,71.852
,,176,"Physical scientists, all other",16.296
,,186,Miscellaneous social scientists and related workers,3.704
,,196,"Other life, physical, and social science technicians",4.444
077,Agricultural and food scientists,,,
,,020,"Farm, ranch, and other agricultural managers",2.703
,,160,Agricultural and food scientists,82.883
,,161,Biological scientists,9.910
,,602,Animal breeders,4.505
078,Biological and life scientists,,,
,,160,Agricultural and food scientists,0.606
,,161,Biological scientists,92.727
,,165,Medical scientists,6.667
079,Forestry and conservation scientists,,,
,,131,"Surveyors, cartographers, and photogrammetrists",0.840
,,161,Biological scientists,7.563
,,164,Conservation scientists and foresters,86.555
,,176,"Physical scientists, all other",1.681
,,196,"Other life, physical, and social science technicians",3.361
083,Medical scientists,,,
,,161,Biological scientists,5.422
,,165,Medical scientists,94.578
084,Physicians,,,
,,306,Physicians and surgeons,97.345
,,353,Miscellaneous health technologists and technicians,2.655
085,Dentists,,,
,,301,Dentists,100.000
086,Veterinarians,,,
,,325,Veterinarians,100.000
087,Optometrists,,,
,,304,Optometrists,100.000
088,Podiatrists,,,
,,312,Podiatrists,100.000
089,"Health diagnosing practitioners, n.e.c.",,,
,,300,Chiropractors,91.971
,,326,"Health diagnosing and treating practitioners, all other",8.029
095,Registered nurses,,,
,,313,Registered nurses,97.959
,,360,"Nursing, psychiatric, and home health aides",2.041
096,Pharmacists,,,
,,305,Pharmacists,100.000
097,Dietitians,,,
,,035,Medical and health services managers,0.730
,,303,Dietitians and nutritionists,96.350
,,341,Health diagnosing and treating practitioner support technicians,2.920
098,Respiratory therapists,,,
,,035,Medical and health services managers,1.058
,,322,Respiratory therapists,98.942
099,Occupational therapists,,,
,,035,Medical and health services managers,1.911
,,315,Occupational therapists,96.815
,,324,"Therapists, all other",1.274
103,Physical therapists,,,
,,316,Physical therapists,100.000
104,Speech therapists,,,
,,314,Audiologists,22.460
,,323,Speech-language pathologists,77.540
105,"Therapists, n.e.c.",,,
,,200,Counselors,7.843
,,316,Physical therapists,0.654
,,320,Radiation therapists,0.654
,,321,Recreational therapists,26.144
,,324,"Therapists, all other",64.706
106,Physicians' assistants,,,
,,311,Physician assistants,35.417
,,340,Emergency medical technicians and paramedics,41.667
,,365,Medical assistants and other healthcare support occupations,22.917
113,"Earth, environmental, and marine science teachers",,,
,,220,Postsecondary teachers,100.000
114,Biological science teachers,,,
,,220,Postsecondary teachers,100.000
115,Chemistry teachers,,,
,,220,Postsecondary teachers,100.000
116,Physics teachers,,,
,,220,Postsecondary teachers,100.000
117,"Natural science teachers, n.e.c.",,,
,,220,Postsecondary teachers,100.000
118,Psychology teachers,,,
,,220,Postsecondary teachers,100.000
119,Economics teachers,,,
,,220,Postsecondary teachers,100.000
123,History teachers,,,
,,220,Postsecondary teachers,100.000
124,Political science teachers,,,
,,220,Postsecondary teachers,100.000
125,Sociology teachers,,,
,,220,Postsecondary teachers,100.000
126,"Social science teachers, n.e.c.",,,
,,220,Postsecondary teachers,100.000
127,Engineering teachers,,,
,,220,Postsecondary teachers,100.000
128,Mathematical science teachers,,,
,,220,Postsecondary teachers,100.000
129,Computer science teachers,,,
,,220,Postsecondary teachers,100.000
133,Medical science teachers,,,
,,220,Postsecondary teachers,100.000
134,Health specialties teachers,,,
,,220,Postsecondary teachers,97.409
,,234,Other teachers and instructors,2.591
135,"Business, commerce, and marketing teachers",,,
,,220,Postsecondary teachers,100.000
136,Agriculture and forestry teachers,,,
,,220,Postsecondary teachers,100.000
137,"Art, drama, and music teachers",,,
,,220,Postsecondary teachers,100.000
138,Physical education teachers,,,
,,220,Postsecondary teachers,93.258
,,272,"Athletes, coaches, umpires, and related workers",6.742
139,Education teachers,,,
,,220,Postsecondary teachers,100.000
143,English teachers,,,
,,220,Postsecondary teachers,100.000
144,Foreign language teachers,,,
,,220,Postsecondary teachers,100.000
145,Law teachers,,,
,,220,Postsecondary teachers,100.000
146,Social work teachers,,,
,,220,Postsecondary teachers,100.000
147,Theology teachers,,,
,,220,Postsecondary teachers,100.000
148,Trade and industrial teachers,,,
,,220,Postsecondary teachers,100.000
149,Home economics teachers,,,
,,220,Postsecondary teachers,100.000
153,"Teachers, postsecondary, n.e.c.",,,
,,220,Postsecondary teachers,81.818
,,234,Other teachers and instructors,18.182
154,"Postsecondary teachers, subject not specified                   ",,,
,,220,Postsecondary teachers,93.157
,,234,Other teachers and instructors,6.843
155,"Teachers, prekindergarten and kindergarten",,,
,,230,Preschool and kindergarten teachers,100.000
156,"Teachers, elementary school",,,
,,231,Elementary and middle school teachers,98.795
,,233,Special education teachers,0.602
,,272,"Athletes, coaches, umpires, and related workers",0.602
157,"Teachers, secondary school",,,
,,231,Elementary and middle school teachers,17.182
,,232,Secondary school teachers,75.945
,,233,Special education teachers,0.344
,,234,Other teachers and instructors,5.498
,,254,Teacher assistants,0.344
,,272,"Athletes, coaches, umpires, and related workers",0.687
